[2012-08-07 17:39:58] : {"type":"gps","imei":"356708044299665","time":1344346727000,"lon":30.25834163,"lat":59.94154149,"alt":32.7,"speed":0,"course":0,"accuracy":43}
[2012-08-07 17:39:59] : {"type":"gps","imei":"356708044299665","time":1344346728002,"lon":30.25832487,"lat":59.94149431,"alt":33,"speed":0,"course":0,"accuracy":36}
[2012-08-07 17:40:00] : {"type":"gps","imei":"356708044299665","time":1344346728998,"lon":30.25841533,"lat":59.9415746,"alt":33.7,"speed":0,"course":0,"accuracy":31}
[2012-08-07 17:40:01] : {"type":"gps","imei":"356708044299665","time":1344346729999,"lon":30.25841868,"lat":59.94157084,"alt":33.8,"speed":0,"course":0,"accuracy":29}
[2012-08-07 17:40:02] : {"type":"gps","imei":"356708044299665","time":1344346730981,"lon":30.25842165,"lat":59.94157438,"alt":33.8,"speed":0,"course":0,"accuracy":27}
[2012-08-07 17:40:03] : {"type":"gps","imei":"356708044299665","time":1344346731996,"lon":30.25841153,"lat":59.94155633,"alt":33.9,"speed":0,"course":0,"accuracy":24}
[2012-08-07 17:40:04] : {"type":"gps","imei":"356708044299665","time":1344346732997,"lon":30.2584151,"lat":59.94155876,"alt":33.9,"speed":0,"course":0,"accuracy":22}
[2012-08-07 17:40:05] : {"type":"gps","imei":"356708044299665","time":1344346733995,"lon":30.25841384,"lat":59.94155494,"alt":34,"speed":0,"course":0,"accuracy":20}
[2012-08-07 17:40:06] : {"type":"gps","imei":"356708044299665","time":1344346734995,"lon":30.25841245,"lat":59.94155021,"alt":34,"speed":0,"course":0,"accuracy":19}
[2012-08-07 17:40:07] : {"type":"gps","imei":"356708044299665","time":1344346735999,"lon":30.25841138,"lat":59.94154797,"alt":34,"speed":0,"course":0,"accuracy":19}
[2012-08-07 17:40:08] : {"type":"gps","imei":"356708044299665","time":1344346736997,"lon":30.25841171,"lat":59.94154698,"alt":34,"speed":0,"course":0,"accuracy":19}
[2012-08-07 17:40:09] : {"type":"gps","imei":"356708044299665","time":1344346737990,"lon":30.25841155,"lat":59.94154645,"alt":34,"speed":0,"course":0,"accuracy":20}
[2012-08-07 17:40:10] : {"type":"gps","imei":"356708044299665","time":1344346739001,"lon":30.25841244,"lat":59.94155023,"alt":34,"speed":0,"course":0,"accuracy":23}
[2012-08-07 17:40:11] : {"type":"gps","imei":"356708044299665","time":1344346739992,"lon":30.25841299,"lat":59.9415518,"alt":34,"speed":0,"course":0,"accuracy":28}
