<gps i=012403002029470 t=1344622754824 x=30.28297548 y=59.94781815 z=5.1 s=0.75 c=196.1 a=38.0>
<gps i=012403002029470 t=1344622764824 x=30.28304652 y=59.94779991 z=19.3 s=0.25 c=32.7 a=20.0>
<gps i=012403002029470 t=1344622765824 x=30.28298758 y=59.94780662 z=19.6 s=0.25 c=34.2 a=18.0>
<gps i=012403002029470 t=1344622766824 x=30.28305156 y=59.94783866 z=16.4 s=0.25 c=40.5 a=17.0>
<gps i=012403002029470 t=1344622767824 x=30.28306285 y=59.9478494 z=15.2 s=0.25 c=276.4 a=15.0>
<gps i=012403002029470 t=1344622768824 x=30.28311528 y=59.94786891 z=15.3 s=0.25 c=294.9 a=11.0>
<gps i=012403002029470 t=1344622769824 x=30.28312578 y=59.94787838 z=14.5 s=0.25 c=353.4 a=10.0>
<gps i=012403002029470 t=1344622770824 x=30.28314856 y=59.94787946 z=14.7 s=0.25 c=105.4 a=9.0>
<gps i=012403002029470 t=1344622771824 x=30.2831722 y=59.94788778 z=13.8 s=0.25 c=138.6 a=9.0>
<gps i=012403002029470 t=1344622772824 x=30.28316543 y=59.94788419 z=13.6 s=0.25 c=158.2 a=8.0>
<gps i=012403002029470 t=1344622773824 x=30.28317097 y=59.94788043 z=14.9 s=0.25 c=153.5 a=8.0>
<gps i=012403002029470 t=1344622774824 x=30.2831775 y=59.94788547 z=14.3 s=0.5 c=64.5 a=8.0>
<gps i=012403002029470 t=1344622775824 x=30.28315722 y=59.94788179 z=14.0 s=0.25 c=48.8 a=8.0>
<gps i=012403002029470 t=1344622776824 x=30.28316551 y=59.94788304 z=15.0 s=0.25 c=60.4 a=9.0>
<gps i=012403002029470 t=1344622777824 x=30.2831948 y=59.947874 z=15.1 s=0.75 c=104.0 a=9.0>
<gps i=012403002029470 t=1344622778824 x=30.28323711 y=59.94788174 z=14.8 s=1.0 c=90.7 a=9.0>
<gps i=012403002029470 t=1344622779824 x=30.28328925 y=59.94788047 z=15.3 s=2.25 c=84.5 a=9.0>
<gps i=012403002029470 t=1344622780824 x=30.28333152 y=59.94788247 z=15.3 s=2.25 c=84.5 a=10.0>
<gps i=012403002029470 t=1344622781824 x=30.28336923 y=59.94786078 z=14.8 s=2.25 c=107.7 a=10.0>
<gps i=012403002029470 t=1344622782824 x=30.28342234 y=59.94785238 z=14.8 s=2.5 c=107.5 a=10.0>
<gps i=012403002029470 t=1344622783824 x=30.28354283 y=59.94781611 z=14.5 s=3.75 c=110.2 a=10.0>
<gps i=012403002029470 t=1344622784824 x=30.28360823 y=59.94776688 z=13.7 s=4.0 c=111.9 a=10.0>
<gps i=012403002029470 t=1344622785824 x=30.28371434 y=59.94776036 z=14.8 s=3.75 c=96.2 a=9.0>
<gps i=012403002029470 t=1344622786824 x=30.28381359 y=59.94776956 z=15.3 s=4.5 c=79.1 a=8.0>
<gps i=012403002029470 t=1344622787824 x=30.28388857 y=59.94778974 z=14.9 s=4.25 c=65.1 a=7.0>
<gps i=012403002029470 t=1344622788824 x=30.28395395 y=59.94782114 z=14.7 s=4.75 c=52.5 a=7.0>
<gps i=012403002029470 t=1344622789824 x=30.28401683 y=59.94785951 z=15.5 s=5.5 c=38.9 a=7.0>
<gps i=012403002029470 t=1344622790824 x=30.28410739 y=59.94792239 z=16.1 s=7.0 c=33.4 a=7.0>
<gps i=012403002029470 t=1344622791824 x=30.28422143 y=59.94799105 z=16.0 s=8.25 c=35.6 a=7.0>
<gps i=012403002029470 t=1344622792824 x=30.28435407 y=59.94808164 z=16.5 s=9.75 c=33.6 a=7.0>
<gps i=012403002029470 t=1344622793824 x=30.28455517 y=59.9482059 z=16.7 s=12.0 c=33.9 a=6.0>
<gps i=012403002029470 t=1344622794824 x=30.28476683 y=59.94830471 z=16.8 s=12.75 c=37.1 a=6.0>
<gps i=012403002029470 t=1344622795824 x=30.28493109 y=59.94840309 z=17.0 s=13.25 c=36.8 a=6.0>
<gps i=012403002029470 t=1344622796824 x=30.28510646 y=59.9485074 z=17.0 s=13.75 c=37.8 a=6.0>
<gps i=012403002029470 t=1344622797824 x=30.28524626 y=59.94862516 z=16.7 s=14.0 c=37.1 a=7.0>
<gps i=012403002029470 t=1344622798824 x=30.28538845 y=59.94872698 z=16.6 s=13.75 c=36.6 a=7.0>
<gps i=012403002029470 t=1344622799824 x=30.28553271 y=59.94882455 z=15.4 s=13.75 c=36.2 a=7.0>
<gps i=012403002029470 t=1344622800824 x=30.28565024 y=59.94892089 z=15.8 s=13.0 c=33.8 a=7.0>
<gps i=012403002029470 t=1344622801824 x=30.28578538 y=59.94901383 z=16.0 s=12.75 c=34.7 a=7.0>
<gps i=012403002029470 t=1344622802824 x=30.28587471 y=59.94908422 z=16.8 s=11.25 c=32.7 a=7.0>
<gps i=012403002029470 t=1344622803824 x=30.28595452 y=59.94912815 z=16.6 s=9.75 c=35.0 a=7.0>
<gps i=012403002029470 t=1344622804824 x=30.28606281 y=59.9491854 z=16.5 s=9.25 c=38.2 a=8.0>
<gps i=012403002029470 t=1344622805824 x=30.28613084 y=59.94922223 z=16.4 s=7.75 c=37.7 a=8.0>
<gps i=012403002029470 t=1344622806824 x=30.28616354 y=59.94924722 z=16.6 s=6.25 c=36.5 a=8.0>
<gps i=012403002029470 t=1344622807824 x=30.28619282 y=59.94927502 z=16.6 s=5.25 c=35.2 a=8.0>
<gps i=012403002029470 t=1344622808824 x=30.28622135 y=59.94929485 z=16.8 s=4.0 c=33.1 a=8.0>
