[2012-08-07 20:55:59] : {"type":"gps","imei":"356708044299665","time":1344358488000,"lon":30.44601733,"lat":59.87331922,"alt":20.2,"speed":0.75,"course":335.2,"accuracy":39}
[2012-08-07 20:56:00] : {"type":"gps","imei":"356708044299665","time":1344358489015,"lon":30.44605932,"lat":59.8733136,"alt":20.3,"speed":1,"course":117.3,"accuracy":31}
[2012-08-07 20:56:00] : {"type":"gps","imei":"356708044299665","time":1344358490009,"lon":30.44609132,"lat":59.87330854,"alt":20.5,"speed":0.75,"course":134.8,"accuracy":26}
[2012-08-07 20:56:02] : {"type":"gps","imei":"356708044299665","time":1344358491006,"lon":30.44609947,"lat":59.87330407,"alt":20.3,"speed":0.5,"course":134.8,"accuracy":26}
[2012-08-07 20:56:02] : {"type":"gps","imei":"356708044299665","time":1344358491992,"lon":30.44611193,"lat":59.87330349,"alt":20,"speed":0.5,"course":134.8,"accuracy":29}
[2012-08-07 20:56:04] : {"type":"gps","imei":"356708044299665","time":1344358493023,"lon":30.44612467,"lat":59.8733063,"alt":20,"speed":0.5,"course":134.8,"accuracy":33}
[2012-08-07 20:56:05] : {"type":"gps","imei":"356708044299665","time":1344358493999,"lon":30.4461293,"lat":59.87330786,"alt":20,"speed":0.25,"course":134.8,"accuracy":34}
[2012-08-07 20:56:05] : {"type":"gps","imei":"356708044299665","time":1344358494993,"lon":30.44613551,"lat":59.87331191,"alt":19.8,"speed":0.25,"course":134.8,"accuracy":35}
[2012-08-07 20:56:07] : {"type":"gps","imei":"356708044299665","time":1344358496013,"lon":30.44614577,"lat":59.87332199,"alt":17.9,"speed":0.25,"course":134.8,"accuracy":33}
[2012-08-07 20:56:08] : {"type":"gps","imei":"356708044299665","time":1344358497014,"lon":30.44615928,"lat":59.87333233,"alt":18.1,"speed":0.5,"course":134.8,"accuracy":35}
[2012-08-07 20:56:08] : {"type":"gps","imei":"356708044299665","time":1344358497997,"lon":30.44617422,"lat":59.87334063,"alt":17.9,"speed":0.5,"course":134.8,"accuracy":37}
[2012-08-07 20:56:09] : {"type":"gps","imei":"356708044299665","time":1344358499000,"lon":30.44618696,"lat":59.87334852,"alt":18,"speed":0.5,"course":134.8,"accuracy":40}
[2012-08-07 20:56:10] : {"type":"gps","imei":"356708044299665","time":1344358500000,"lon":30.44620094,"lat":59.87335515,"alt":17.8,"speed":0.5,"course":134.8,"accuracy":40}
[2012-08-07 20:56:12] : {"type":"gps","imei":"356708044299665","time":1344358501009,"lon":30.4462135,"lat":59.87336097,"alt":17.8,"speed":0.5,"course":134.8,"accuracy":42}
[2012-08-07 20:56:12] : {"type":"gps","imei":"356708044299665","time":1344358501999,"lon":30.44621485,"lat":59.87336227,"alt":18.1,"speed":0.25,"course":134.8,"accuracy":43}
[2012-08-07 20:56:13] : {"type":"gps","imei":"356708044299665","time":1344358502997,"lon":30.44622783,"lat":59.87336203,"alt":18.2,"speed":0.5,"course":134.8,"accuracy":43}
[2012-08-07 20:56:15] : {"type":"gps","imei":"356708044299665","time":1344358504019,"lon":30.44620234,"lat":59.87336338,"alt":19.2,"speed":0.25,"course":134.8,"accuracy":37}
[2012-08-07 20:56:15] : {"type":"gps","imei":"356708044299665","time":1344358504993,"lon":30.44615258,"lat":59.87335894,"alt":19.7,"speed":0.25,"course":134.8,"accuracy":30}
[2012-08-07 20:56:16] : {"type":"gps","imei":"356708044299665","time":1344358506001,"lon":30.44608064,"lat":59.8733474,"alt":22,"speed":0.5,"course":134.8,"accuracy":28}
[2012-08-07 20:56:18] : {"type":"gps","imei":"356708044299665","time":1344358507012,"lon":30.44603202,"lat":59.87333758,"alt":23.1,"speed":0,"course":0,"accuracy":24}
[2012-08-07 20:56:19] : {"type":"gps","imei":"356708044299665","time":1344358508019,"lon":30.44599033,"lat":59.87333486,"alt":22.3,"speed":0,"course":0,"accuracy":21}
[2012-08-07 20:56:19] : {"type":"gps","imei":"356708044299665","time":1344358509002,"lon":30.4459579,"lat":59.87333421,"alt":22.5,"speed":0.25,"course":134.8,"accuracy":19}
